chapter	sentence_id	token_id	token	target
baskervilles01	8	15	sign	O
baskervilles01	8	18	occupation	O
baskervilles01	9	4	know	O
baskervilles01	10	1	believe	O
baskervilles01	10	4	eyes	O
baskervilles01	10	7	back	O
baskervilles01	10	10	head	O
baskervilles01	11	5	least	O
baskervilles01	11	8	well-polished	O
baskervilles01	11	10	silver-plated	O
baskervilles01	11	11	coffee-pot	O
baskervilles01	11	13	front	O
baskervilles01	11	18	said	O
baskervilles01	12	3	tell	O
baskervilles01	12	6	watson	O
baskervilles01	12	11	make	O
baskervilles01	12	14	visitor	O
baskervilles01	12	15	's	O
baskervilles01	12	16	stick	O
baskervilles01	13	0	since	O
baskervilles01	13	5	unfortunate	B-NEG
baskervilles01	13	8	miss	O
baskervilles01	13	12	no	B-NEG
baskervilles01	13	13	notion	O
baskervilles01	13	16	errand	O
baskervilles01	13	19	accidental	O
baskervilles01	13	20	souvenir	O
baskervilles01	13	21	becomes	O
baskervilles01	13	23	importance	O
baskervilles01	14	0	let	O
baskervilles01	14	2	hear	O
baskervilles01	14	4	reconstruct	O
baskervilles01	14	6	man	O
baskervilles01	14	9	examination	O
baskervilles01	15	2	think	O
baskervilles01	15	5	said	O
baskervilles01	15	8	following	O
baskervilles01	15	10	far	O
baskervilles01	15	13	could	O
baskervilles01	15	15	methods	O
baskervilles01	15	18	companion	O
baskervilles01	15	22	dr.	O
baskervilles01	15	23	mortimer	O
baskervilles01	15	26	successful	O
baskervilles01	15	28	elderly	O
baskervilles01	15	29	medical	O
baskervilles01	15	30	man	O
baskervilles01	15	32	well-esteemed	O
baskervilles01	15	33	since	O
baskervilles01	15	36	know	O
baskervilles01	15	38	give	O
baskervilles01	15	41	mark	O
baskervilles01	15	44	appreciation	O
baskervilles01	16	1	good	O
baskervilles01	16	4	said	O
baskervilles01	16	5	holmes	O
baskervilles01	17	1	excellent	O
baskervilles01	18	2	think	O
baskervilles01	18	3	also	O
baskervilles01	18	6	probability	O
baskervilles01	18	9	favour	O
baskervilles01	18	14	country	O
baskervilles01	18	15	practitioner	O
baskervilles01	18	19	great	O
baskervilles01	18	20	deal	O
baskervilles01	18	23	visiting	O
baskervilles01	18	25	foot	O
baskervilles01	20	3	stick	O
baskervilles01	20	5	though	O
baskervilles01	20	6	originally	O
baskervilles01	20	9	handsome	O
baskervilles01	20	10	one	O
baskervilles01	20	14	knocked	O
baskervilles01	20	19	hardly	O
baskervilles01	20	20	imagine	O
baskervilles01	20	22	town	O
baskervilles01	20	23	practitioner	O
baskervilles01	20	24	carrying	O
baskervilles01	21	1	thick-iron	O
baskervilles01	21	2	ferrule	O
baskervilles01	21	4	worn	O
baskervilles01	21	10	evident	O
baskervilles01	21	14	done	O
baskervilles01	21	16	great	O
baskervilles01	21	17	amount	O
baskervilles01	21	19	walking	O
baskervilles01	22	1	perfectly	O
baskervilles01	22	2	sound	O
baskervilles01	22	5	said	O
baskervilles01	22	6	holmes	O
baskervilles01	23	9	friends	O
baskervilles01	23	12	c.c.h	O
baskervilles01	24	2	guess	O
baskervilles01	24	7	something	O
baskervilles01	24	8	hunt	O
baskervilles01	24	11	local	O
baskervilles01	24	12	hunt	O
baskervilles01	24	14	whose	O
baskervilles01	24	15	members	O
baskervilles01	24	18	possibly	O
baskervilles01	24	19	given	O
baskervilles01	24	21	surgical	O
baskervilles01	24	22	assistance	O
baskervilles01	24	27	made	O
baskervilles01	24	30	small	O
baskervilles01	24	31	presentation	O
baskervilles01	24	33	return	O
baskervilles01	25	1	really	O
baskervilles01	25	3	watson	O
baskervilles01	25	6	excel	O
baskervilles01	25	10	said	O
baskervilles01	25	11	holmes	O
baskervilles01	25	13	pushing	O
baskervilles01	25	14	back	O
baskervilles01	25	16	chair	O
baskervilles01	25	18	lighting	O
baskervilles01	25	20	cigarette	O
baskervilles01	26	3	bound	O
baskervilles01	26	5	say	O
baskervilles01	26	10	accounts	O
baskervilles01	26	16	good	O
baskervilles01	26	19	give	O
baskervilles01	26	23	small	O
baskervilles01	26	24	achievements	O
baskervilles01	26	27	habitually	O
baskervilles01	26	28	underrated	O
baskervilles01	26	31	abilities	O
baskervilles01	27	1	may	O
baskervilles01	27	6	not	B-NEG
baskervilles01	27	8	luminous	O
baskervilles01	27	14	conductor	O
baskervilles01	27	16	light	O
baskervilles01	28	1	people	O
baskervilles01	28	2	without	B-NEG
baskervilles01	28	3	possessing	O
baskervilles01	28	4	genius	O
baskervilles01	28	7	remarkable	O
baskervilles01	28	8	power	O
baskervilles01	28	10	stimulating	O
baskervilles01	29	1	confess	O
baskervilles01	29	4	dear	O
baskervilles01	29	5	fellow	O
baskervilles01	29	11	much	O
baskervilles01	29	14	debt	O
baskervilles01	30	2	never	B-NEG
baskervilles01	30	3	said	O
baskervilles01	30	5	much	O
baskervilles01	30	10	must	O
baskervilles01	30	11	admit	O
baskervilles01	30	14	words	O
baskervilles01	30	15	gave	O
baskervilles01	30	17	keen	O
baskervilles01	30	18	pleasure	O
baskervilles01	30	23	often	O
baskervilles01	30	25	piqued	O
baskervilles01	30	28	indifference	O
baskervilles01	30	31	admiration	O
baskervilles01	30	35	attempts	O
baskervilles01	30	39	made	O
baskervilles01	30	41	give	O
baskervilles01	30	42	publicity	O
baskervilles01	30	45	methods	O
baskervilles01	31	2	proud	O
baskervilles01	31	7	think	O
baskervilles01	31	12	far	O
baskervilles01	31	13	mastered	O
baskervilles01	31	15	system	O
baskervilles01	31	18	apply	O
baskervilles01	31	22	way	O
baskervilles01	31	24	earned	O
baskervilles01	31	26	approval	O
baskervilles01	32	2	took	O
baskervilles01	32	4	stick	O
baskervilles01	32	7	hands	O
baskervilles01	32	9	examined	O
baskervilles01	32	14	minutes	O
baskervilles01	32	17	naked	O
baskervilles01	32	18	eyes	O
baskervilles01	33	3	expression	O
baskervilles01	33	5	interest	O
baskervilles01	33	7	laid	O
baskervilles01	33	10	cigarette	O
baskervilles01	33	13	carrying	O
baskervilles01	33	15	cane	O
baskervilles01	33	18	window	O
baskervilles01	33	21	looked	O
baskervilles01	33	27	convex	O
baskervilles01	33	28	lens	O
baskervilles01	34	1	interesting	O
baskervilles01	34	3	though	O
baskervilles01	34	4	elementary	O
baskervilles01	34	7	said	O
baskervilles01	34	11	returned	O
baskervilles01	34	14	favourite	O
baskervilles01	34	15	corner	O
baskervilles01	34	18	settee	O
baskervilles01	35	3	certainly	O
baskervilles01	35	4	one	O
baskervilles01	35	6	two	O
baskervilles01	35	7	indications	O
baskervilles01	35	8	upon	O
baskervilles01	35	10	stick	O
baskervilles01	36	1	gives	O
baskervilles01	36	2	us	O
baskervilles01	36	4	basis	O
baskervilles01	36	6	several	O
baskervilles01	36	7	deductions	O
baskervilles01	37	2	anything	O
baskervilles01	37	3	escaped	O
baskervilles01	37	8	asked	O
baskervilles01	37	11	self-importance	O
baskervilles01	38	2	trust	O
baskervilles01	38	6	nothing	B-NEG
baskervilles01	38	8	consequence	O
baskervilles01	38	12	overlooked	O
baskervilles01	39	3	afraid	O
baskervilles01	39	6	dear	O
baskervilles01	39	7	watson	O
baskervilles01	39	13	conclusions	O
baskervilles01	39	15	erroneous	O
baskervilles01	40	2	said	O
baskervilles01	40	5	stimulated	O
baskervilles01	40	8	meant	O
baskervilles01	40	12	frank	O
baskervilles01	40	16	noting	O
baskervilles01	40	18	fallacies	O
baskervilles01	40	21	occasionally	O
baskervilles01	40	22	guided	O
baskervilles01	40	23	towards	O
baskervilles01	40	25	truth	O
baskervilles01	41	0	not	B-NEG
baskervilles01	41	4	entirely	O
baskervilles01	41	5	wrong	O
baskervilles01	41	8	instance	O
baskervilles01	42	1	man	O
baskervilles01	42	3	certainly	O
baskervilles01	42	5	country	O
baskervilles01	42	6	practitioner	O
baskervilles01	43	2	walks	O
baskervilles01	43	4	good	O
baskervilles01	43	5	deal	O
baskervilles01	44	4	right	O
baskervilles01	45	3	extent	O
baskervilles01	47	1	no	B-NEG
baskervilles01	47	3	no	B-NEG
baskervilles01	47	6	dear	O
baskervilles01	47	7	watson	O
baskervilles01	47	9	not	B-NEG
baskervilles01	47	13	no	I-NEG
baskervilles01	47	14	means	I-NEG
baskervilles01	48	1	would	O
baskervilles01	48	2	suggest	O
baskervilles01	48	5	example	O
baskervilles01	48	9	presentation	O
baskervilles01	48	12	doctor	O
baskervilles01	48	15	likely	O
baskervilles01	48	17	come	O
baskervilles01	48	20	hospital	O
baskervilles01	48	21	than	O
baskervilles01	48	24	hunt	O
baskervilles01	48	30	initials	O
baskervilles01	48	32	c.c.	O
baskervilles01	48	35	placed	O
baskervilles01	48	38	hospital	O
baskervilles01	48	40	words	O
baskervilles01	48	42	charing	O
baskervilles01	48	43	cross	O
baskervilles01	48	46	naturally	O
baskervilles01	48	47	suggest	O
baskervilles01	49	2	may	O
baskervilles01	49	4	right	O
baskervilles01	50	2	probability	O
baskervilles01	50	3	lies	O
baskervilles01	50	6	direction	O
baskervilles01	51	3	take	O
baskervilles01	51	7	working	O
baskervilles01	51	8	hypothesis	O
baskervilles01	51	12	fresh	O
baskervilles01	51	13	basis	O
baskervilles01	51	17	start	O
baskervilles01	51	19	construction	O
baskervilles01	51	22	unknown	B-NEG
baskervilles01	51	23	visitor	O
baskervilles01	52	1	well	O
baskervilles01	52	5	supposing	O
baskervilles01	52	8	c.c.h.	O
baskervilles01	52	11	stand	O
baskervilles01	52	14	charing	O
baskervilles01	52	15	cross	O
baskervilles01	52	16	hospital	O
baskervilles01	52	21	inferences	O
baskervilles01	52	22	may	O
baskervilles01	52	24	draw	O
baskervilles01	53	2	none	B-NEG
baskervilles01	53	3	suggest	O
baskervilles01	54	1	know	O
baskervilles01	54	3	methods	O
baskervilles01	55	0	apply	O
baskervilles01	56	4	think	O
baskervilles01	56	7	obvious	O
baskervilles01	56	8	conclusion	O
baskervilles01	56	11	man	O
baskervilles01	56	13	practised	O
baskervilles01	56	15	town	O
baskervilles01	56	17	going	O
baskervilles01	56	20	country	O
baskervilles01	57	2	think	O
baskervilles01	57	5	might	O
baskervilles01	57	6	venture	O
baskervilles01	57	8	little	O
baskervilles01	57	9	farther	O
baskervilles01	57	10	than	O
baskervilles01	58	0	look	O
baskervilles01	58	5	light	O
baskervilles01	59	2	occasion	O
baskervilles01	59	3	would	O
baskervilles01	59	7	probable	O
baskervilles01	59	11	presentation	O
baskervilles01	59	12	would	O
baskervilles01	59	14	made	O
baskervilles01	60	1	would	O
baskervilles01	60	3	friends	O
baskervilles01	60	4	unite	O
baskervilles01	60	6	give	O
baskervilles01	60	9	pledge	O
baskervilles01	60	12	good	O
baskervilles01	61	0	obviously	O
baskervilles01	61	3	moment	O
baskervilles01	61	5	dr.	O
baskervilles01	61	6	mortimer	O
baskervilles01	61	7	withdrew	O
baskervilles01	61	10	service	O
baskervilles01	61	13	hospital	O
baskervilles01	61	15	order	O
baskervilles01	61	17	start	O
baskervilles01	61	19	practice	O
baskervilles01	62	1	know	O
baskervilles01	62	6	presentation	O
baskervilles01	63	1	believe	O
baskervilles01	63	6	change	O
baskervilles01	63	9	town	O
baskervilles01	63	10	hospital	O
baskervilles01	63	13	country	O
baskervilles01	63	14	practice	O
baskervilles01	64	5	stretching	O
baskervilles01	64	7	inference	O
baskervilles01	64	9	far	O
baskervilles01	64	11	say	O
baskervilles01	64	14	presentation	O
baskervilles01	64	18	occasion	O
baskervilles01	64	21	change	O
baskervilles01	65	2	certainly	O
baskervilles01	65	3	seems	O
baskervilles01	65	4	probable	O
baskervilles01	66	5	observe	O
baskervilles01	66	8	could	O
baskervilles01	66	9	not	B-NEG
baskervilles01	66	14	staff	O
baskervilles01	66	17	hospital	O
baskervilles01	66	19	since	O
baskervilles01	66	22	man	O
baskervilles01	66	23	well-established	O
baskervilles01	66	26	london	O
baskervilles01	66	27	practice	O
baskervilles01	66	28	could	O
baskervilles01	66	29	hold	O
baskervilles01	66	32	position	O
baskervilles01	66	37	one	O
baskervilles01	66	38	would	O
baskervilles01	66	39	not	B-NEG
baskervilles01	66	40	drift	O
baskervilles01	66	43	country	O
baskervilles01	68	5	hospital	O
baskervilles01	68	7	yet	O
baskervilles01	68	8	not	B-NEG
baskervilles01	68	11	staff	O
baskervilles01	68	13	could	O
baskervilles01	68	18	house-surgeon	O
baskervilles01	68	21	house-physician	O
baskervilles01	68	23	little	O
baskervilles01	68	25	than	O
baskervilles01	68	27	senior	O
baskervilles01	68	28	student	O
baskervilles01	69	2	left	O
baskervilles01	69	3	five	O
baskervilles01	69	4	years	O
baskervilles01	69	5	ago	O
baskervilles01	69	8	date	O
baskervilles01	69	12	stick	O
baskervilles01	70	2	grave	O
baskervilles01	70	4	middle-aged	O
baskervilles01	70	5	family	O
baskervilles01	70	6	practitioner	O
baskervilles01	70	7	vanishes	O
baskervilles01	70	9	thin	O
baskervilles01	70	10	air	O
baskervilles01	70	13	dear	O
baskervilles01	70	14	watson	O
baskervilles01	70	18	emerges	O
baskervilles01	70	20	young	O
baskervilles01	70	21	fellow	O
baskervilles01	70	23	thirty	O
baskervilles01	70	25	amiable	O
baskervilles01	70	27	unambitious	B-NEG
baskervilles01	70	29	absent-minded	O
baskervilles01	70	33	possessor	O
baskervilles01	70	36	favourite	O
baskervilles01	70	37	dog	O
baskervilles01	70	42	describe	O
baskervilles01	70	43	roughly	O
baskervilles01	70	46	larger	O
baskervilles01	70	47	than	O
baskervilles01	70	49	terrier	O
baskervilles01	70	51	smaller	O
baskervilles01	70	52	than	O
baskervilles01	70	54	mastiff	O
baskervilles01	71	1	laughed	O
baskervilles01	71	2	incredulously	B-NEG
baskervilles01	71	4	sherlock	O
baskervilles01	71	5	holmes	O
baskervilles01	71	6	leaned	O
baskervilles01	71	7	back	O
baskervilles01	71	10	settee	O
baskervilles01	71	12	blew	O
baskervilles01	71	13	little	O
baskervilles01	71	14	wavering	O
baskervilles01	71	15	rings	O
baskervilles01	71	17	smoke	O
baskervilles01	71	21	ceiling	O
baskervilles01	72	4	latter	O
baskervilles01	72	5	part	O
baskervilles01	72	9	no	B-NEG
baskervilles01	72	10	means	O
baskervilles01	72	12	checking	O
baskervilles01	72	16	said	O
baskervilles01	72	22	least	O
baskervilles01	72	25	not	B-NEG
baskervilles01	72	26	difficult	O
baskervilles01	72	28	find	O
baskervilles01	72	32	particulars	O
baskervilles01	72	35	man	O
baskervilles01	72	36	's	O
baskervilles01	72	37	age	O
baskervilles01	72	39	professional	O
baskervilles01	72	40	career	O
baskervilles01	73	2	small	O
baskervilles01	73	3	medical	O
baskervilles01	73	4	shelf	O
baskervilles01	73	6	took	O
baskervilles01	73	9	medical	O
baskervilles01	73	10	directory	O
baskervilles01	73	12	turned	O
baskervilles01	73	15	name	O
baskervilles01	74	2	several	O
baskervilles01	74	3	mortimers	O
baskervilles01	74	7	one	O
baskervilles01	74	9	could	O
baskervilles01	74	12	visitor	O
baskervilles01	75	1	read	O
baskervilles01	75	3	record	O
baskervilles01	75	4	aloud	O
baskervilles01	76	1	mortimer	O
baskervilles01	76	3	james	O
baskervilles01	76	5	m.r.c.s.	O
baskervilles01	76	9	grimpen	O
baskervilles01	76	11	dartmoor	O
baskervilles01	76	13	devon	O
baskervilles01	77	0	house-surgeon	O
baskervilles01	77	8	charing	O
baskervilles01	77	9	cross	O
baskervilles01	77	10	hospital	O
baskervilles01	78	0	winner	O
baskervilles01	78	3	jackson	O
baskervilles01	78	4	prize	O
baskervilles01	78	6	comparative	O
baskervilles01	78	7	pathology	O
baskervilles01	78	10	essay	O
baskervilles01	78	11	entitled	O
baskervilles01	78	14	disease	O
baskervilles01	78	16	reversion	O
baskervilles01	79	0	corresponding	O
baskervilles01	79	1	member	O
baskervilles01	79	4	swedish	O
baskervilles01	79	5	pathological	O
baskervilles01	79	6	society	O
baskervilles01	80	0	author	O
baskervilles01	80	4	freaks	O
baskervilles01	80	6	atavism	O
baskervilles01	80	9	lancet	O
baskervilles01	81	3	progress	O
baskervilles01	81	7	journal	O
baskervilles01	81	9	psychology	O
baskervilles01	81	11	march	O
baskervilles01	82	0	medical	O
baskervilles01	82	1	officer	O
baskervilles01	82	4	parishes	O
baskervilles01	82	6	grimpen	O
baskervilles01	82	8	thorsley	O
baskervilles01	82	11	high	O
baskervilles01	82	12	barrow	O
baskervilles01	83	1	no	B-NEG
baskervilles01	83	2	mention	O
baskervilles01	83	5	local	O
baskervilles01	83	6	hunt	O
baskervilles01	83	8	watson	O
baskervilles01	83	11	said	O
baskervilles01	83	12	holmes	O
baskervilles01	83	15	mischievous	O
baskervilles01	83	16	smile	O
baskervilles01	83	21	country	O
baskervilles01	83	22	doctor	O
baskervilles01	83	27	astutely	O
baskervilles01	83	28	observed	O
baskervilles01	84	1	think	O
baskervilles01	84	5	fairly	O
baskervilles01	84	6	justified	O
baskervilles01	84	9	inferences	O
baskervilles01	85	3	adjectives	O
baskervilles01	85	6	said	O
baskervilles01	85	10	remember	O
baskervilles01	85	11	right	O
baskervilles01	85	13	amiable	O
baskervilles01	85	15	unambitious	B-NEG
baskervilles01	85	18	absent-minded	O
baskervilles01	86	3	experience	O
baskervilles01	86	9	amiable	O
baskervilles01	86	10	man	O
baskervilles01	86	13	world	O
baskervilles01	86	15	receives	O
baskervilles01	86	16	testimonials	O
baskervilles01	86	20	unambitious	B-NEG
baskervilles01	86	21	one	O
baskervilles01	86	23	abandons	O
baskervilles01	86	25	london	O
baskervilles01	86	26	career	O
baskervilles01	86	29	country	O
baskervilles01	86	34	absent-minded	O
baskervilles01	86	35	one	O
baskervilles01	86	37	leaves	O
baskervilles01	86	39	stick	O
baskervilles01	86	41	not	B-NEG
baskervilles01	86	43	visiting-card	O
baskervilles01	86	45	waiting	O
baskervilles01	86	47	hour	O
baskervilles01	86	50	room	O
baskervilles01	87	3	dog	O
baskervilles01	88	5	habit	O
baskervilles01	88	7	carrying	O
baskervilles01	88	9	stick	O
baskervilles01	88	10	behind	O
baskervilles01	88	12	master	O
baskervilles01	89	2	heavy	O
baskervilles01	89	3	stick	O
baskervilles01	89	5	dog	O
baskervilles01	89	7	held	O
baskervilles01	89	9	tightly	O
baskervilles01	89	12	middle	O
baskervilles01	89	16	marks	O
baskervilles01	89	19	teeth	O
baskervilles01	89	22	plainly	O
baskervilles01	89	23	visible	O
baskervilles01	90	1	dog	O
baskervilles01	90	2	's	O
baskervilles01	90	3	jaw	O
baskervilles01	90	6	shown	O
baskervilles01	90	9	space	O
baskervilles01	90	12	marks	O
baskervilles01	90	16	broad	O
baskervilles01	90	19	opinion	O
baskervilles01	90	22	terrier	O
baskervilles01	90	24	not	B-NEG
baskervilles01	90	25	broad	O
baskervilles01	90	26	enough	O
baskervilles01	90	29	mastiff	O
baskervilles01	91	1	may	O
baskervilles01	91	5	yes	O
baskervilles01	91	8	jove	O
baskervilles01	91	13	curly-haired	O
baskervilles01	91	14	spaniel	O
baskervilles01	92	2	risen	O
baskervilles01	92	4	paced	O
baskervilles01	92	6	room	O
baskervilles01	92	9	spoke	O
baskervilles01	93	2	halted	O
baskervilles01	93	5	recess	O
baskervilles01	93	8	window	O
baskervilles01	94	4	ring	O
baskervilles01	94	6	conviction	O
baskervilles01	94	9	voice	O
baskervilles01	94	12	glanced	O
baskervilles01	94	15	surprise	O
baskervilles01	95	2	dear	O
baskervilles01	95	3	fellow	O
baskervilles01	95	8	possibly	O
baskervilles01	95	11	sure	O
baskervilles01	96	4	simple	O
baskervilles01	96	5	reason	O
baskervilles01	96	8	see	O
baskervilles01	96	10	dog	O
baskervilles01	96	15	door-step	O
baskervilles01	96	21	ring	O
baskervilles01	96	24	owner	O
baskervilles01	97	1	n't	B-NEG
baskervilles01	97	2	move	O
baskervilles01	97	5	beg	O
baskervilles01	97	8	watson	O
baskervilles01	98	3	professional	O
baskervilles01	98	4	brother	O
baskervilles01	98	10	presence	O
baskervilles01	98	11	may	O
baskervilles01	98	14	assistance	O
baskervilles01	99	3	dramatic	O
baskervilles01	99	4	moment	O
baskervilles01	99	6	fate	O
baskervilles01	99	8	watson	O
baskervilles01	99	12	hear	O
baskervilles01	99	14	step	O
baskervilles01	99	15	upon	O
baskervilles01	99	17	stair	O
baskervilles01	99	20	walking	O
baskervilles01	99	23	life	O
baskervilles01	99	27	know	O
baskervilles01	99	28	not	B-NEG
baskervilles01	99	29	whether	O
baskervilles01	99	31	good	O
baskervilles01	99	33	ill	O
baskervilles01	100	2	dr.	O
baskervilles01	100	3	james	O
baskervilles01	100	4	mortimer	O
baskervilles01	100	7	man	O
baskervilles01	100	9	science	O
baskervilles01	100	11	ask	O
baskervilles01	100	13	sherlock	O
baskervilles01	100	14	holmes	O
baskervilles01	100	17	specialist	O
baskervilles01	100	19	crime	O
baskervilles01	101	0	come	O
baskervilles01	102	1	appearance	O
baskervilles01	102	4	visitor	O
baskervilles01	102	7	surprise	O
baskervilles01	102	11	since	O
baskervilles01	102	14	expected	O
baskervilles01	102	16	typical	O
baskervilles01	102	17	country	O
baskervilles01	102	18	practitioner	O
baskervilles01	103	4	tall	O
baskervilles01	103	6	thin	O
baskervilles01	103	7	man	O
baskervilles01	103	11	long	O
baskervilles01	103	12	nose	O
baskervilles01	103	13	like	O
baskervilles01	103	15	beak	O
baskervilles01	103	18	jutted	O
baskervilles01	103	21	two	O
baskervilles01	103	22	keen	O
baskervilles01	103	24	gray	O
baskervilles01	103	25	eyes	O
baskervilles01	103	27	set	O
baskervilles01	103	28	closely	O
baskervilles01	103	29	together	O
baskervilles01	103	31	sparkling	O
baskervilles01	103	32	brightly	O
baskervilles01	103	34	behind	O
baskervilles01	103	36	pair	O
baskervilles01	103	38	gold-rimmed	O
baskervilles01	103	39	glasses	O
baskervilles01	104	2	clad	O
baskervilles01	104	5	professional	O
baskervilles01	104	7	rather	O
baskervilles01	104	8	slovenly	O
baskervilles01	104	9	fashion	O
baskervilles01	104	13	frock-coat	O
baskervilles01	104	15	dingy	O
baskervilles01	104	18	trousers	O
baskervilles01	104	19	frayed	O
baskervilles01	105	0	though	O
baskervilles01	105	1	young	O
baskervilles01	105	4	long	O
baskervilles01	105	5	back	O
baskervilles01	105	7	already	O
baskervilles01	105	8	bowed	O
baskervilles01	105	12	walked	O
baskervilles01	105	15	forward	O
baskervilles01	105	16	thrust	O
baskervilles01	105	19	head	O
baskervilles01	105	22	general	O
baskervilles01	105	23	air	O
baskervilles01	105	25	peering	O
baskervilles01	105	26	benevolence	O
baskervilles01	106	2	entered	O
baskervilles01	106	4	eyes	O
baskervilles01	106	5	fell	O
baskervilles01	106	6	upon	O
baskervilles01	106	8	stick	O
baskervilles01	106	10	holmes	O
baskervilles01	106	11	's	O
baskervilles01	106	12	hand	O
baskervilles01	106	16	ran	O
baskervilles01	106	17	towards	O
baskervilles01	106	21	exclamation	O
baskervilles01	106	23	joy	O
baskervilles01	107	5	glad	O
baskervilles01	107	8	said	O
baskervilles01	108	3	not	B-NEG
baskervilles01	108	4	sure	O
baskervilles01	108	5	whether	O
baskervilles01	108	8	left	O
baskervilles01	108	14	shipping	O
baskervilles01	108	15	office	O
baskervilles01	109	1	would	O
baskervilles01	109	2	not	B-NEG
baskervilles01	109	3	lose	O
baskervilles01	109	5	stick	O
baskervilles01	109	8	world	O
baskervilles01	110	2	presentation	O
baskervilles01	110	5	see	O
baskervilles01	110	8	said	O
baskervilles01	110	9	holmes	O
baskervilles01	111	1	yes	O
baskervilles01	111	3	sir	O
baskervilles01	112	2	charing	O
baskervilles01	112	3	cross	O
baskervilles01	112	4	hospital	O
baskervilles01	113	2	one	O
baskervilles01	113	4	two	O
baskervilles01	113	5	friends	O
baskervilles01	113	9	occasion	O
baskervilles01	113	12	marriage	O
baskervilles01	114	1	dear	O
baskervilles01	114	3	dear	O
baskervilles01	114	6	's	O
baskervilles01	114	7	bad	O
baskervilles01	114	10	said	O
baskervilles01	114	11	holmes	O
baskervilles01	114	13	shaking	O
baskervilles01	114	15	head	O
baskervilles01	115	0	dr.	O
baskervilles01	115	1	mortimer	O
baskervilles01	115	2	blinked	O
baskervilles01	115	5	glasses	O
baskervilles01	115	7	mild	O
baskervilles01	115	8	astonishment	O
baskervilles01	116	4	bad	O
baskervilles01	117	5	disarranged	O
baskervilles01	117	7	little	O
baskervilles01	117	8	deductions	O
baskervilles01	118	1	marriage	O
baskervilles01	118	4	say	O
baskervilles01	119	1	yes	O
baskervilles01	119	3	sir	O
baskervilles01	120	1	married	O
baskervilles01	120	5	left	O
baskervilles01	120	7	hospital	O
baskervilles01	120	13	hopes	O
baskervilles01	120	16	consulting	O
baskervilles01	120	17	practice	O
baskervilles01	121	2	necessary	O
baskervilles01	121	4	make	O
baskervilles01	121	6	home	O
baskervilles01	122	1	come	O
baskervilles01	122	3	come	O
baskervilles01	122	7	not	B-NEG
baskervilles01	122	9	far	O
baskervilles01	122	10	wrong	O
baskervilles01	122	16	said	O
baskervilles01	122	17	holmes	O
baskervilles01	123	4	dr.	O
baskervilles01	123	5	james	O
baskervilles01	123	6	mortimer	O
baskervilles01	124	1	mister	O
baskervilles01	124	3	sir	O
baskervilles01	124	5	mister	O
baskervilles01	124	8	humble	O
baskervilles01	124	9	m.r.c.s	O
baskervilles01	125	3	man	O
baskervilles01	125	5	precise	O
baskervilles01	125	6	mind	O
baskervilles01	125	8	evidently	O
baskervilles01	126	2	dabbler	O
baskervilles01	126	4	science	O
baskervilles01	126	6	mr.	O
baskervilles01	126	7	holmes	O
baskervilles01	126	10	picker	O
baskervilles01	126	13	shells	O
baskervilles01	126	16	shores	O
